,short_ma,long_ma,signal,regime,cumulative_return,sharpe
1619,15,28,20,1.0,1.0483160223388661,0.04067876582587651
1906,20,28,15,1.0,1.0483160223388661,0.04067876582587651
1618,15,28,18,1.0,1.048168173217775,0.0403179023756396
1816,18,28,15,1.0,1.048168173217775,0.0403179023756396
1500,13,24,5,1.0,1.0475581268310532,0.039186472856473795
1590,15,20,5,1.0,1.0449102508544903,0.03708938867074073
1244,9,42,11,1.0,1.0437512377929685,0.038903924380401286
1343,10,42,10,1.0,1.0437512377929685,0.038903924380401286
1136,7,37,15,1.0,1.0434205895996094,0.037329743073298796
1003,6,24,10,1.0,1.0432248034667977,0.03567727740967435
1301,10,24,6,1.0,1.0432248034667977,0.03567727740967435
1727,16,33,16,1.0,1.0425079901123036,0.03588330067849097
1040,6,42,5,1.0,1.0404359765625006,0.03267266185536542
1442,12,42,8,1.0,1.039303143310546,0.035025863294242406
1112,7,28,8,1.0,1.0373024584960937,0.030870272529276637
1354,10,46,11,1.0,1.0353423107910154,0.030868420717402253
1522,13,33,8,1.0,1.0349712152099606,0.030520894647477162
1972,20,60,8,1.0,1.0345943542480462,0.031102908396313068
1038,6,37,18,1.0,1.031566994628907,0.027309464665582067
1146,7,42,15,1.0,1.031566994628907,0.027309464665582067
1831,18,37,6,1.0,1.031566994628907,0.027309464665582067
1049,6,42,20,1.0,1.0304112646484374,0.026399108386854966
1931,20,42,6,1.0,1.0304112646484374,0.026399108386854966
1126,7,33,15,1.0,1.029354727783203,0.025614580168360775
1532,13,37,8,1.0,1.028800212402344,0.025146039788432665
1211,9,28,6,1.0,1.0269280725097658,0.022254603629053488
1400,12,24,5,1.0,1.0269280725097658,0.022254603629053488
1324,10,33,11,1.0,1.0262877459716797,0.022976953349917204
1344,10,42,11,1.0,1.022303768310546,0.019517209437522495
1483,12,60,10,1.0,1.0209695843505862,0.018333647323103632
1607,15,24,16,1.0,1.0200552142333987,0.016826498988985396
1698,16,20,18,1.0,1.0200552142333987,0.016826498988985396
1706,16,24,15,1.0,1.0200552142333987,0.016826498988985396
1797,18,20,16,1.0,1.0200552142333987,0.016826498988985396
1305,10,24,13,1.0,1.0181200177001952,0.015384822384060614
1395,12,20,13,1.0,1.0181200177001952,0.015384822384060614
1503,13,24,10,1.0,1.0181200177001952,0.015384822384060614
1111,7,28,6,1.0,1.0176392034912105,0.014050660252277136
1463,12,51,10,1.0,1.0176085620117206,0.01549830985761563
1147,7,42,16,1.0,1.0173418017578124,0.015167786645127444
1552,13,46,8,1.0,1.0173418017578124,0.015167786645127444
1200,9,24,5,1.0,1.01535732055664,0.012238627990770948
1239,9,37,20,1.0,1.0136835577392591,0.011865372829564043
1248,9,42,18,1.0,1.0136835577392591,0.011865372829564043
1347,10,42,16,1.0,1.0136835577392591,0.011865372829564043
1644,15,42,11,1.0,1.0136835577392591,0.011865372829564043
1743,16,42,10,1.0,1.0136835577392591,0.011865372829564043
1090,7,20,5,1.0,1.013341275634766,0.010615588121067082
1852,18,46,8,1.0,1.0132875555419933,0.011521595471459912
1932,20,42,8,1.0,1.0132875555419933,0.011521595471459912
1329,10,33,20,1.0,1.0125870245361344,0.010913675283776042
