,short_ma,long_ma,signal,regime,cumulative_return,sharpe
237,10,51,8,,1.9791509434509382,0.4082098015089628
238,10,28,8,,1.9782760455703805,0.40676214282108203
239,10,24,10,,1.9716277475356991,0.4086198816729353
240,7,46,13,,1.9700365851974462,0.4051103189852321
241,15,20,5,,1.9678761516189576,0.4024493718212775
242,18,51,5,,1.9673552389526388,0.4027517555795615
243,6,42,16,,1.9672639868926964,0.40424183338001446
244,9,24,5,,1.9658708986663742,0.39040369433689953
245,6,55,15,,1.9631176847457887,0.4006697888580872
246,12,51,8,,1.9597272785568232,0.4016710045968963
247,7,42,15,,1.9564109467315687,0.40006106855273743
248,7,24,16,,1.9525850678253138,0.40398294051303746
249,9,24,6,,1.9522043503189086,0.3777526816038292
250,12,33,8,,1.9512022093200727,0.40171307176050364
251,20,33,5,,1.9509110858154308,0.3927459565814157
252,9,55,10,,1.9502102767562877,0.3981777653475441
253,20,37,5,,1.9493239990234406,0.3969116072453387
254,10,37,8,,1.9493105027389435,0.3967235564564174
255,6,60,5,,1.9485282332229574,0.39310302131442243
256,7,28,8,,1.9482561311721827,0.3961214972153927
257,10,60,8,,1.941307335166933,0.3947371569369253
258,6,33,8,,1.9407761449432375,0.3921588584820054
259,20,28,6,,1.936867029762264,0.3909595050313501
260,7,55,5,,1.9295307784271232,0.3866593343171382
261,6,28,20,,1.9263777984237647,0.38786726922129783
262,7,24,6,,1.9257451604843168,0.3712222273514684
263,12,28,8,,1.9244969887542633,0.39362651771356144
264,10,46,10,,1.9208595942306514,0.38968461835394413
265,9,51,10,,1.9185812267684952,0.389299328238349
266,10,20,10,,1.9167720086288491,0.3774378484505849
267,10,20,8,,1.9132541556930616,0.37423109307494556
268,12,20,10,,1.9110741691970816,0.39003461572539355
269,16,55,6,,1.9080181394576987,0.38341154969956454
270,10,24,6,,1.9079506421661327,0.38468885240318246
271,6,24,10,,1.9079506421661327,0.38468885240318246
272,9,33,10,,1.9032651353836076,0.3854522166844443
273,6,42,5,,1.9031624666595477,0.37390189784959044
274,13,20,5,,1.9019306350707998,0.38223132413031996
275,7,55,13,,1.9019285791015663,0.3826788621916365
276,10,28,5,,1.901413517723079,0.38041946538388044
277,16,37,6,,1.9011045304870569,0.385353453689725
278,7,24,18,,1.8984933688735943,0.37884576108956197
279,6,24,11,,1.8964884015655459,0.38076927202838384
280,12,24,10,,1.8936453030395564,0.3853384033468401
281,9,28,6,,1.8935866394805931,0.3791412137424815
282,7,28,16,,1.891994927711477,0.3772675819647696
283,13,24,8,,1.8888305292892429,0.3825849636976547
284,6,20,16,,1.8871237961578367,0.377015966029466
285,16,20,6,,1.8862519391250658,0.37677140586012753
286,6,37,16,,1.8861465533828783,0.3807259394790218
287,7,20,15,,1.8846333557891908,0.3816772404146735
288,7,42,13,,1.8844049270629837,0.37906414241452563
289,10,28,11,,1.8811741402435322,0.3807935861837333
290,6,28,8,,1.8809984713363594,0.37210484824019957
291,7,51,13,,1.8804073436737057,0.3776702637429661
292,10,20,13,,1.8744577037811287,0.3789306249321538
293,13,20,10,,1.8744577037811287,0.3789306249321538
294,15,51,6,,1.8744024597930924,0.37403442145013815
295,13,42,8,,1.8728279199981686,0.37549201809108657
296,9,33,11,,1.8723111731338533,0.3781539244771892
297,15,24,8,,1.869555231781009,0.3777131426465937
298,6,33,20,,1.8688364522552592,0.36723026427351774
299,9,46,10,,1.8686477610397252,0.3745891762831017
300,9,60,10,,1.8674427344131441,0.3702658748689497
301,9,28,11,,1.867085380744941,0.37687001963309413
302,6,55,16,,1.8667570677947982,0.3706026476069165
303,16,60,6,,1.8655616643524158,0.3683983622363981
