,short_ma,long_ma,signal,cumulative_return,sharpe
2470,9,51,11,0.884500786132816,-0.04619559511222722
3780,11,51,9,0.884500786132816,-0.04619559511222722
3424,11,29,5,0.8841505517578098,-0.04528587089395224
2067,9,26,8,0.8839616229248033,-0.04540959180194911
1412,8,26,9,0.8839616229248033,-0.04540959180194911
425,6,46,14,0.8837528704833959,-0.046599811588747236
2502,9,53,11,0.8835125354003909,-0.04662015868283652
3812,11,53,9,0.8835125354003909,-0.04662015868283652
2020,9,23,9,0.8834369494628923,-0.04573520034272133
2769,10,29,6,0.8833892297363287,-0.045591282357921294
1334,8,21,11,0.883382789306642,-0.045808738677026374
3299,11,21,8,0.883382789306642,-0.045808738677026374
2032,9,24,5,0.8829053698730445,-0.04597454474359511
233,6,34,14,0.882714623413085,-0.04689239389758189
267,6,36,16,0.8822146685791029,-0.0471168944536814
5521,14,37,6,0.8820975195312485,-0.04718982330547701
6577,16,21,6,0.8820648486328091,-0.04638599968495452
27,6,21,16,0.8820648486328091,-0.04638599968495452
94,6,25,19,0.8819679229736362,-0.0473051261738712
1314,8,20,7,0.8819134362792945,-0.04636748692315328
659,7,20,8,0.8819134362792945,-0.04636748692315328
1768,8,48,13,0.881824157104486,-0.04748525400305608
5043,13,48,8,0.8817516302490236,-0.04751326223853041
918,7,36,11,0.8813881988525348,-0.04750327329172675
3538,11,36,7,0.8813881988525348,-0.04750327329172675
4451,12,52,8,0.8810354919433556,-0.04764113664659175
773,7,27,10,0.8807641906738318,-0.04681659570721639
2738,10,27,7,0.8807641906738318,-0.04681659570721639
102,6,26,11,0.8806400097656281,-0.046780484532230736
9696,20,53,5,0.8805645294189417,-0.047974015354376
1472,8,30,5,0.880237487792973,-0.04705983887362892
8609,19,25,6,0.880024221801757,-0.04811928999875452
103,6,26,12,0.8799870080566398,-0.04716463409679813
4033,12,26,6,0.8799870080566398,-0.04716463409679813
675,7,21,8,0.879920868530276,-0.0473484331537998
1330,8,21,7,0.879920868530276,-0.0473484331537998
